"bookname","year"
"text1","1"
"text2","2"
"text3","3"
"text4","4"
"text5","5"
"text6","6"
"text7","7"
"text8","8"
"text9","9"
"text10","10"
"text11","11"
"text12","12"
"exercise1A","1"
"exercise2A","2"
"exercise3A","3"
"exercise4A","4"
"exercise5A","5"
"exercise6A","6"
"exercise7A","7"
"exercise8A","8"
"exercise9A","9"
"exercise10A","10"
"exercise11A","11"
"exercise12A","12"
"exercise1B","1"
"exercise2B","2"
"exercise3B","3"
"exercise4B","4"
"exercise5B","5"
"exercise6B","6"
"exercise7B","7"
"exercise8B","8"
"exercise9B","9"
"exercise10B","10"
"exercise11B","11"
"exercise12B","12"
